,Unnamed: 0,comics,id,name
480,80,5,1015004,Thanos (Ultimate)
481,81,0,1011083,The 198
482,82,2,1009653,The Anarchist
483,83,0,1009654,The Call
484,84,0,1010714,The Captain
485,85,2,1011294,The Enforcers
486,86,0,1010728,The Executioner
487,87,0,1009655,The Fallen
488,88,1,1011219,The Fury
489,89,41,1010359,The Hand
490,90,39,1010715,The Hood
491,91,4,1011295,The Howling Commandos
492,92,0,1014986,The Hunter
493,93,18,1010998,The Initiative
494,94,0,1017103,The Leader (HAS)
495,95,1,1011216,The Liberteens
496,96,0,1011215,The Liberty Legion
497,97,18,1011018,The Order
498,98,0,1009656,The Phantom
499,99,6,1009657,The Professor
500,0,2,1011211,The Renegades
501,1,0,1011110,The Santerians
502,2,0,1009658,The Shiver Man
503,3,0,1009659,The Spike
504,4,11,1009660,The Stranger
505,5,13,1011112,The Twelve
506,6,14,1009661,The Watchers
507,7,8,1011181,Thena
508,8,931,1009662,Thing
509,9,0,1017313,Thing (Marvel Heroes)
510,10,49,1010983,Thing (Ultimate)
511,11,1758,1009664,Thor
512,12,55,1017576,Thor (Goddess of Thunder)
513,13,0,1017106,Thor (MAA)
514,14,0,1017315,Thor (Marvel Heroes)
515,15,0,1017328,Thor (Marvel War of Heroes)
516,16,0,1017302,Thor (Marvel: Avengers Alliance)
517,17,54,1011025,Thor (Ultimate)
518,18,16,1010820,Thor Girl
519,19,14,1010885,Thunderball
520,20,33,1009666,Thunderbird (John Proudstar)
521,21,36,1009667,Thunderbird (Neal Shaara)
522,22,1,1009668,Thunderbolt (Bill Carver)
523,23,18,1014812,Thunderbolt Ross
524,24,268,1010360,Thunderbolts
525,25,16,1011304,Thundra
526,26,24,1009669,Tiger Shark
527,27,9,1011237,Tiger's Beautiful Daughter
528,28,124,1009670,Tigra (Greer Nelson)
529,29,0,1010857,Timeslip
530,30,13,1011345,Tinkerer
531,31,7,1011960,Tippy Toe
532,32,41,1010669,Titania
533,33,29,1009672,Titanium Man (Topolov)
534,34,48,1009673,Toad
535,35,2,1009674,Toad Men
536,36,0,1011166,Tomas
537,37,40,1009675,Tombstone
538,38,11,1010328,Tomorrow Man
539,39,45,1009624,Tony Stark
540,40,33,1011309,Toro (Thomas Raymond)
541,41,7,1009676,Toxin
542,42,69,1009692,Toxin (Eddie Brock)
543,43,19,1010822,Trauma
544,44,41,1010825,Triathlon
545,45,0,1009671,Trish Tilby
546,46,65,1010335,Triton
547,47,5,1011352,True Believers
548,48,8,1011047,Turbo
549,49,6,1009678,Tusk
550,50,135,1010852,Two-Gun Kid
551,51,6,1009679,Tyger Tiger
552,52,37,1010369,Typhoid Mary
553,53,14,1009680,Tyrannus
554,54,4,1011315,U-Foes
555,55,14,1009681,U-Go Girl
556,56,57,1009682,U.S. Agent
557,57,72,1009683,Uatu The Watcher
558,58,41,1010358,Ulik
559,59,19,1016825,Ultimate Spider-Man (USM)
560,60,126,1010803,Ultimates
561,61,17,1009684,Ultimatum
562,62,7,1011311,Ultimo
563,63,1,1011125,Ultra-Adaptoid
564,64,1,1010847,Ultragirl (Earth-93060)
565,65,116,1009685,Ultron
566,66,17,1009686,Umar
567,67,7,1010862,Unicorn
568,68,4,1010985,Union Jack (Brian Falsworth)
569,69,22,1010696,Union Jack (Joseph Chapman)
570,70,19,1010984,Union Jack (Montgomery Falsworth)
571,71,12,1009687,Unus
572,72,1,1010987,Unus (Age of Apocalypse)
573,73,0,1010988,Unus (House of M)
574,74,0,1010986,Unus (Ultimate)
575,75,66,1009525,Valeria Richards
576,76,17,1010350,Valkyrie (Samantha Parrington)
577,77,9,1011239,Valkyrie (Ultimate)
578,78,0,1011182,Vampiro
579,79,31,1011342,Vance Astro
580,80,0,1010989,Vanisher (Age of Apocalypse)
581,81,12,1011365,Vanisher (Telford Porter)
582,82,3,1009689,Vanisher (Ultimate)
583,83,0,1011316,Vapor
584,84,15,1009690,Vargas
585,85,0,1010872,Vector
586,86,11,1011231,Veda
587,87,36,1009691,Vengeance (Michael Badilino)
588,88,112,1009663,Venom (Flash Thompson)
589,89,24,1010788,Venom (Mac Gargan)
590,90,8,1011128,Venom (Ultimate)
591,91,7,1011106,Venus (Siren)
592,92,10,1009693,Venus Dee Milo
593,93,15,1010353,Vermin (Edward Whelan)
594,94,28,1009694,Vertigo (Savage Land Mutate)
